name,image_id,confidence,xmin,ymin,xmax,ymax
scallop,000105.xml,0.4087185263633728,395.3605651855469,1344.7684326171875,659.1447143554688,1500.4481201171875
holothurian,000105.xml,0.3663664758205414,794.6765747070312,1251.9583740234375,1301.3350830078125,1408.944091796875
echinus,000210.xml,0.8800716400146484,1248.2269287109375,1369.61181640625,1626.384521484375,1762.2857666015625
echinus,000210.xml,0.8721537590026855,734.6173706054688,1185.2415771484375,1131.13623046875,1577.7056884765625
holothurian,000210.xml,0.860510528087616,1770.352783203125,1126.6617431640625,2075.567626953125,1338.247802734375
echinus,000210.xml,0.8417008519172668,474.7362976074219,1507.9361572265625,946.9459838867188,1948.371337890625
echinus,000210.xml,0.6273393034934998,1039.7109375,753.0944213867188,1252.8826904296875,951.777587890625
starfish,000265.xml,0.9519504308700562,2372.969970703125,202.9453582763672,2707.056884765625,439.4715576171875
starfish,000265.xml,0.8581938743591309,1337.6182861328125,806.3226318359375,1702.70703125,1087.0821533203125
scallop,000265.xml,0.8341115117073059,1451.805908203125,1669.7672119140625,1833.85107421875,1962.2791748046875
scallop,000265.xml,0.5782027244567871,1916.2548828125,1459.2545166015625,2138.4423828125,1644.0069580078125
scallop,000265.xml,0.4660654664039612,2625.16259765625,1569.061279296875,2853.096923828125,1775.465576171875
scallop,000265.xml,0.4426771402359009,3485.806396484375,402.48687744140625,3839.999755859375,611.6058349609375
scallop,000265.xml,0.4082978367805481,3100.5,1408.46142578125,3612.228515625,1851.927734375
scallop,000265.xml,0.40499988198280334,2740.584716796875,599.12646484375,3098.863525390625,788.7890014648438
scallop,000364.xml,0.8520563244819641,1621.5615234375,1549.0914306640625,1838.5113525390625,1726.2591552734375
scallop,000364.xml,0.6595214605331421,2380.673583984375,1990.2056884765625,2607.79345703125,2168.10400390625
scallop,000364.xml,0.5549551248550415,2132.88037109375,1627.06640625,2341.636962890625,1799.4249267578125
scallop,000364.xml,0.3773598372936249,1502.2098388671875,1085.267578125,1670.5069580078125,1286.9342041015625
echinus,000192.xml,0.7758251428604126,2935.161865234375,1137.9178466796875,3353.769287109375,1465.76708984375
holothurian,000192.xml,0.43139150738716125,41.31585693359375,795.366943359375,689.0704956054688,1107.710205078125
echinus,000639.xml,0.7667580246925354,3381.438720703125,1046.08544921875,3610.4130859375,1246.49560546875
echinus,000639.xml,0.32217296957969666,833.2108764648438,1611.7691650390625,1097.8929443359375,1827.85693359375
holothurian,000027.xml,0.6092883944511414,763.670166015625,697.205322265625,1117.03662109375,865.193359375
holothurian,000027.xml,0.5367206931114197,1142.9056396484375,443.9997863769531,1411.65283203125,648.6028442382812
holothurian,000027.xml,0.4082033336162567,868.126708984375,585.4885864257812,1083.852294921875,685.3367919921875
echinus,000203.xml,0.8967788219451904,2287.91650390625,517.4508666992188,2605.71240234375,845.1129150390625
echinus,000203.xml,0.7276514172554016,3133.88720703125,855.9932250976562,3643.5126953125,1347.185546875
scallop,000406.xml,0.8774280548095703,2858.014404296875,801.797607421875,3241.3974609375,1015.6151123046875
scallop,000406.xml,0.7409119009971619,642.7130126953125,967.950927734375,931.94091796875,1151.4652099609375
scallop,000406.xml,0.6154411435127258,3554.10595703125,802.5198364257812,3817.19775390625,994.4551391601562
scallop,000406.xml,0.5975502133369446,1159.451904296875,1378.0738525390625,1508.253173828125,1659.1771240234375
scallop,000406.xml,0.42058664560317993,2919.148193359375,1620.6546630859375,3183.785888671875,1825.7755126953125
scallop,000406.xml,0.30683743953704834,2929.868896484375,442.22930908203125,3161.52099609375,581.5009155273438
echinus,000038.xml,0.34793567657470703,425.7793273925781,655.6010131835938,531.6180419921875,764.3230590820312
echinus,000260.xml,0.8524667024612427,1177.070556640625,1942.8035888671875,1395.096923828125,2159.530517578125
echinus,000260.xml,0.5164015293121338,806.0401611328125,1899.1710205078125,1037.881103515625,2113.834228515625
echinus,000260.xml,0.3929536044597626,2115.57470703125,1933.4295654296875,2282.771728515625,2149.05322265625
echinus,000618.xml,0.8586452603340149,1513.598388671875,1772.7469482421875,1815.8912353515625,2098.50537109375
starfish,000618.xml,0.8536644577980042,2018.696044921875,1138.4532470703125,2280.434326171875,1441.883056640625
holothurian,000618.xml,0.5523448586463928,1690.72314453125,639.0857543945312,1976.3984375,909.7117309570312
holothurian,000618.xml,0.4719555675983429,920.0761108398438,1138.4801025390625,1213.7030029296875,1460.678955078125
echinus,000618.xml,0.39928457140922546,3643.432861328125,1643.0733642578125,3826.047607421875,1912.260986328125
echinus,000618.xml,0.3748335838317871,3546.04248046875,1283.597900390625,3839.999755859375,1697.4569091796875
echinus,000484.xml,0.8402039408683777,206.9510040283203,346.0615539550781,284.4544982910156,407.4765930175781
echinus,000484.xml,0.8110321760177612,267.08172607421875,258.26763916015625,315.1430969238281,305.71923828125
echinus,000484.xml,0.7913543581962585,253.95445251464844,170.75001525878906,296.3803405761719,212.38970947265625
echinus,000484.xml,0.687232255935669,0.8463079929351807,146.09500122070312,37.82503128051758,212.45980834960938
echinus,000484.xml,0.6866798400878906,214.1036834716797,109.32123565673828,248.6633758544922,155.5518798828125
echinus,000484.xml,0.5452040433883667,99.08019256591797,370.01971435546875,188.18862915039062,405.95770263671875
echinus,000484.xml,0.4853655695915222,52.240257263183594,46.45635223388672,103.94435119628906,90.14038848876953
echinus,000484.xml,0.3518008291721344,275.51373291015625,102.56057739257812,313.70977783203125,135.99191284179688
echinus,000484.xml,0.3336213231086731,287.01641845703125,381.4335632324219,351.2687683105469,404.6039733886719
echinus,000121.xml,0.894661545753479,453.55072021484375,1088.4986572265625,719.7283935546875,1309.7703857421875
echinus,000121.xml,0.48014041781425476,1173.00927734375,1498.07861328125,1346.2108154296875,1702.982666015625
holothurian,000141.xml,0.6485154032707214,2398.086181640625,1040.6754150390625,3300.385986328125,1701.5897216796875
scallop,000141.xml,0.34163352847099304,3.9995453357696533,610.4527587890625,204.39112854003906,801.497314453125
echinus,000141.xml,0.30268698930740356,2198.027587890625,107.51800537109375,2403.8125,276.9935607910156
echinus,000521.xml,0.7488001585006714,2542.412109375,1734.6746826171875,2749.556640625,1947.013671875
